fips,d03012021
18095,77.0
18097,664.0
18099,41.0
18101,2.0
18103,36.0
18105,93.0
18107,66.0
18109,62.0
18111,1.0
18113,33.0
18115,11.0
18117,7.0
18119,5.0
18121,15.0
18123,11.0
18125,5.0
18127,149.0
18129,15.0
18131,8.0
18133,50.0
18135,5.0
18137,20.0
18139,11.0
18141,507.0
18143,23.0
18145,30.0
18147,15.0
18149,22.0
18151,30.0
18153,15.0
18155,4.0
18157,295.0
18159,10.0
18161,3.0
18163,161.0
18165,25.0
18167,121.0
18169,29.0
18171,13.0
18173,54.0
18175,41.0
18177,51.0
18179,34.0
18181,28.0
18183,39.0
19001,8.0
19003,1.0
19005,21.0
19007,9.0
19009,4.0
19011,52.0
19013,97.0
19015,24.0
19017,42.0
19019,19.0
19021,48.0
19023,10.0
19025,11.0
19027,15.0
19029,25.0
19031,34.0
19033,30.0
19035,9.0
19037,5.0
19039,15.0
19041,7.0
19043,7.0
19045,50.0
19047,34.0
19049,170.0
19051,7.0
19053,13.0
19055,7.0
19057,44.0
19059,24.0
19061,124.0
19063,9.0
19065,13.0
19067,8.0
19069,4.0
19071,8.0
19073,6.0
19075,13.0
19077,6.0
19079,11.0
19081,5.0
19083,22.0
19085,7.0
19087,11.0
19089,8.0
19091,8.0
19093,4.0
19095,21.0
19097,19.0
19099,119.0
19101,11.0
19103,122.0
19105,10.0
19107,4.0
19109,18.0
19111,35.0
19113,142.0
19115,10.0
19117,14.0
19119,6.0
19121,24.0
19123,19.0
19125,34.0
19127,27.0
19129,15.0
19131,7.0
19133,3.0
19135,11.0
19137,3.0
19139,61.0
19141,26.0
19143,10.0
19145,20.0
19147,8.0
19149,23.0
19151,5.0
19153,699.0
19155,100.0
19157,10.0
19159,4.0
19161,13.0
19163,134.0
19165,18.0
19167,44.0
19169,125.0
19171,21.0
19173,3.0
19175,6.0
19177,1.0
19179,106.0
19181,69.0
19183,8.0
19185,3.0
19187,40.0
19189,14.0
19191,22.0
19193,135.0
19195,8.0
19197,8.0
20001,28.0
20003,9.0
20005,4.0
20007,0.0
20009,6.0
20011,7.0
20013,10.0
20015,57.0
20017,2.0
20019,6.0
20021,21.0
20023,7.0
20025,4.0
20027,6.0
20029,6.0
20031,10.0
20033,4.0
20035,27.0
20037,32.0
20039,1.0
20041,4.0
20043,12.0
20045,74.0
20047,3.0
20049,6.0
20051,32.0
20053,5.0
20055,7.0
20057,25.0
20059,15.0
20061,36.0
20063,0.0
20065,1.0
20067,2.0
20069,0.0
20071,1.0
20073,1.0
20075,2.0
20077,2.0
20079,28.0
20081,0.0
20083,9.0
20085,1.0
20087,13.0
20089,2.0
20091,662.0
20093,2.0
20095,3.0
20097,1.0
20099,27.0
20101,0.0
20103,75.0
20105,0.0
20107,5.0
20109,1.0
20111,49.0
20113,26.0
20115,10.0
20117,6.0
20119,5.0
20121,37.0
20123,0.0
20125,60.0
20127,7.0
20129,2.0
20131,10.0
20133,19.0
20135,0.0
20137,0.0
20139,7.0
20141,1.0
20143,0.0
20145,1.0
20147,8.0
20149,27.0
20151,3.0
20153,1.0
20155,37.0
20157,1.0
20159,6.0
20161,31.0
20163,10.0
20165,1.0
20167,8.0
20169,46.0
20171,1.0
20173,444.0
20175,15.0
20177,127.0
20179,0.0
20181,2.0
20183,0.0
20185,0.0
20187,2.0
20189,0.0
20191,8.0
20193,21.0
20195,2.0
20197,10.0
20199,2.0
20201,4.0
20203,0.0
20205,15.0
20207,8.0
20209,180.0
21001,65.0
21003,16.0
21005,23.0
21007,11.0
21009,75.0
21011,28.0
21013,70.0
21015,283.0
21017,27.0
21019,49.0
21021,30.0
21023,18.0
21025,11.0
21027,16.0
21029,125.0
21031,19.0
21033,217.0
21035,28.0
21037,152.0
21039,6.0
21041,17.0
21043,53.0
21045,23.0
21047,69.0
21049,37.0
21051,64.0
21053,21.0
21055,12.0
21057,11.0
21059,164.0
21061,15.0
21063,-6.0
21065,13.0
21067,518.0
21069,13.0
21071,52.0
21073,52.0
21075,12.0
21077,3.0
21079,16.0
21081,67.0
21083,20.0
21085,33.0
21087,34.0
21089,44.0
21091,4.0
21093,149.0
21095,36.0
21097,24.0
21099,31.0
21101,29.0
21103,36.0
21105,12.0
21107,72.0
21109,19.0
21111,1239.0
21113,120.0
21115,66.0
21117,305.0
21119,40.0
21121,100.0
21123,37.0
21125,143.0
21127,56.0
21129,12.0
21131,19.0
21133,49.0
21135,12.0
21137,50.0
21139,7.0
21141,49.0
21143,32.0
21145,117.0
21147,44.0
21149,4.0
21151,134.0
21153,18.0
21155,24.0
21157,44.0
21159,25.0
21161,35.0
21163,37.0
21165,13.0
21167,26.0
21169,26.0
21171,3.0
21173,34.0
21175,20.0
21177,37.0
21179,62.0
21181,10.0
21183,32.0
21185,61.0
21187,2.0
21189,20.0
21191,21.0
21193,111.0
21195,127.0
21197,11.0
21199,129.0
21201,2.0
21203,31.0
21205,29.0
21207,58.0
21209,170.0
21211,58.0
21213,28.0
21215,27.0
21217,134.0
21219,2.0
21221,13.0
21223,13.0
21225,8.0
21227,205.0
21229,23.0
21231,27.0
21233,5.0
21235,122.0
21237,16.0
21239,28.0
22001,67.0
22003,43.0
22005,117.0
22007,18.0
22009,76.0
22011,64.0
22013,32.0
22015,165.0
22017,251.0
22019,568.0
22021,2.0
22023,8.0
22025,10.0
22027,10.0
22029,23.0
22031,24.0
22033,515.0
22035,14.0
22037,56.0
22039,40.0
22041,22.0
22043,24.0
22045,71.0
22047,45.0
22049,27.0
22051,517.0
22053,43.0
22055,156.0
22057,132.0
22059,14.0
22061,17.0
22063,216.0
22065,8.0
22067,25.0
22069,20.0
22071,426.0
22073,68.0
22075,59.0
22077,26.0
22079,101.0
22081,9.0
22083,25.0
22085,25.0
22087,100.0
22089,70.0
22091,3.0
22093,18.0
22095,44.0
22097,72.0
22099,42.0
22101,72.0
22103,633.0
22105,153.0
22107,1.0
22109,193.0
22111,11.0
22113,64.0
22115,37.0
22117,62.0
22119,36.0
22121,39.0
22123,8.0
22125,-1.0
22127,15.0
23001,119.0
23003,20.0
23005,311.0
23007,24.0
23009,32.0
23011,84.0
23013,28.0
23015,15.0
23017,59.0
23019,132.0
23021,41.0
23023,20.0
23025,11.0
23027,11.0
23029,17.0
23031,247.0
24001,15.0
24003,606.0
24005,840.0
24009,41.0
24011,28.0
24013,101.0
24015,49.0
24017,170.0
24019,42.0
24021,254.0
24023,9.0
24025,206.0
24027,259.0
24029,20.0
24031,872.0
24033,1163.0
24035,28.0
24037,112.0
24039,25.0
24041,35.0
24043,168.0
24045,81.0
24047,37.0
24510,575.0
25001,291.0
25003,64.0
25005,877.0
25009,1265.0
25011,28.0
25013,1007.0
25015,307.0
25017,2175.0
25021,1115.0
25023,821.0
25025,1541.0
25027,1245.0
26001,3.0
26003,1.0
26005,81.0
26007,21.0
26009,29.0
26011,12.0
26013,5.0
26015,63.0
26017,116.0
26019,17.0
26021,133.0
26023,26.0
26025,182.0
26027,79.0
26029,15.0
26031,89.0
26033,23.0
26035,20.0
26037,51.0
26039,12.0
26041,30.0
26043,9.0
26045,138.0
26047,40.0
26049,479.0
26051,15.0
26053,10.0
26055,98.0
26057,34.0
26059,50.0
26061,42.0
26063,44.0
26065,301.0
26067,65.0
26069,6.0
26071,1.0
26073,36.0
26075,196.0
26077,279.0
26079,21.0
26081,586.0
26083,3.0
26085,4.0
26087,127.0
26089,22.0
26091,159.0
26093,188.0
26095,6.0
26097,4.0
26099,947.0
26101,2.0
26103,17.0
26105,10.0
26107,21.0
26109,5.0
26111,98.0
26113,34.0
26115,167.0
26117,46.0
26119,4.0
26121,41.0
26123,55.0
26125,1051.0
26127,20.0
26129,4.0
26131,0.0
26133,13.0
26135,6.0
26137,13.0
26139,215.0
26141,11.0
26143,31.0
26145,184.0
26147,121.0
26149,78.0
26151,72.0
26153,0.0
26155,57.0
26157,67.0
26159,36.0
26161,387.0
26163,1480.0
26165,33.0
27001,17.0
27003,335.0
27005,45.0
27007,33.0
27009,56.0
27011,7.0
27013,90.0
27015,47.0
27017,20.0
27019,162.0
27021,27.0
27023,7.0
27025,62.0
27027,96.0
27029,6.0
27031,-1.0
27033,15.0
27035,58.0
27037,585.0
27039,10.0
27041,28.0
27043,18.0
27045,8.0
27047,48.0
27049,31.0
27051,9.0
27053,1232.0
27055,13.0
27057,10.0
27059,27.0
27061,54.0
27063,14.0
27065,8.0
27067,34.0
27069,4.0
27071,1.0
27073,4.0
27075,16.0
27077,6.0
27079,48.0
27081,4.0
27083,17.0
27085,34.0
27087,6.0
27089,14.0
27091,29.0
27093,21.0
27095,20.0
27097,29.0
27099,51.0
27101,3.0
27103,72.0
27105,19.0
27107,13.0
27109,110.0
27111,33.0
27113,86.0
27115,20.0
27117,7.0
27119,21.0
27121,16.0
27123,389.0
27125,9.0
27127,8.0
27129,28.0
27131,62.0
27133,5.0
27135,27.0
27137,166.0
27139,192.0
27141,70.0
27143,12.0
27145,59.0
27147,29.0
27149,4.0
27151,8.0
27153,44.0
27155,4.0
27157,12.0
27159,30.0
27161,29.0
27163,274.0
27165,32.0
27167,8.0
27169,46.0
27171,129.0
27173,2.0
28001,24.0
28003,21.0
28005,11.0
28007,9.0
28009,9.0
28011,43.0
28013,26.0
28015,13.0
28017,9.0
28019,2.0
28021,11.0
28023,20.0
28025,19.0
28027,53.0
28029,51.0
28031,27.0
28033,231.0
28035,160.0
28037,11.0
28039,24.0
28041,14.0
28043,30.0
28045,102.0
28047,347.0
28049,257.0
28051,13.0
28053,17.0
28055,0.0
28057,15.0
28059,210.0
28061,33.0
28063,18.0
28065,20.0
28067,137.0
28069,11.0
28071,52.0
28073,99.0
28075,105.0
28077,22.0
28079,19.0
28081,60.0
28083,34.0
28085,113.0
28087,52.0
28089,114.0
28091,33.0
28093,68.0
28095,22.0
28097,22.0
28099,65.0
28101,78.0
28103,4.0
28105,36.0
28107,66.0
28109,110.0
28111,19.0
28113,28.0
28115,29.0
28117,27.0
28119,5.0
28121,195.0
28123,26.0
28125,0.0
28127,64.0
28129,17.0
28131,20.0
28133,28.0
28135,17.0
28137,39.0
28139,40.0
28141,17.0
28143,11.0
28145,44.0
28147,11.0
28149,39.0
28151,94.0
28153,39.0
28155,20.0
28157,3.0
28159,17.0
28161,31.0
28163,68.0
29001,20.0
29003,4.0
29005,0.0
29007,9.0
29009,15.0
29011,10.0
29013,13.0
29015,9.0
29017,2.0
29019,70.0
29021,22.0
29023,71.0
29025,2.0
29027,39.0
29029,25.0
29031,26.0
29033,3.0
29035,5.0
29037,76.0
29039,37.0
29041,2.0
29043,51.0
29045,1.0
29047,78.0
29049,6.0
29051,28.0
29053,9.0
29055,12.0
29057,2.0
29059,7.0
29061,0.0
29063,2.0
29065,3.0
29067,4.0
29069,10.0
29071,48.0
29073,4.0
29075,0.0
29077,177.0
29079,0.0
29081,1.0
29083,11.0
29085,1.0
29087,0.0
29089,8.0
29091,30.0
29093,-2.0
29095,251.0
29097,95.0
29099,111.0
29101,22.0
29103,3.0
29105,6.0
29107,24.0
29109,19.0
29111,3.0
29113,27.0
29115,4.0
29117,7.0
29119,11.0
29121,10.0
29123,2.0
29125,3.0
29127,4.0
29129,1.0
29131,3.0
29133,15.0
29135,3.0
29137,6.0
29139,1.0
29141,2.0
29143,-1.0
29145,20.0
29147,22.0
29149,4.0
29151,9.0
29153,3.0
29155,3.0
29157,12.0
29159,28.0
29161,30.0
29163,4.0
29165,48.0
29167,21.0
29169,15.0
29171,2.0
29173,3.0
29175,6.0
29177,16.0
29179,0.0
29181,2.0
29183,229.0
29185,6.0
29186,4.0
29187,32.0
29189,928.0
29195,10.0
29197,11.0
29199,5.0
29201,37.0
29203,2.0
29205,5.0
29207,14.0
29209,15.0
29211,0.0
29213,36.0
29215,6.0
29217,5.0
29219,14.0
29221,5.0
29223,4.0
29225,7.0
29227,1.0
29229,-1.0
29510,219.0
30001,5.0
30003,5.0
30005,8.0
30007,5.0
30009,4.0
30011,1.0
30013,43.0
30015,6.0
30017,5.0
30019,1.0
30021,2.0
30023,16.0
30025,1.0
30027,8.0
30029,212.0
30031,221.0
30033,0.0
30035,2.0
30037,2.0
30039,0.0
30041,16.0
30043,9.0
30045,1.0
30047,32.0
30049,80.0
30051,0.0
30053,14.0
30055,3.0
30057,17.0
30059,1.0
30061,7.0
30063,87.0
30065,0.0
30067,24.0
30069,0.0
30071,5.0
30073,2.0
30075,1.0
30077,1.0
30079,0.0
30081,44.0
30083,17.0
30085,16.0
30087,4.0
30089,4.0
30091,2.0
30093,89.0
30095,4.0
30097,9.0
30099,5.0
30101,0.0
30103,0.0
30105,19.0
30107,5.0
30109,0.0
30111,128.0
31001,21.0
31003,7.0
31005,0.0
31007,1.0
31009,0.0
31011,3.0
31013,14.0
31015,0.0
31017,0.0
31019,76.0
31021,11.0
31023,11.0
31025,41.0
31027,6.0
31029,0.0
31031,0.0
31033,5.0
31035,0.0
31037,5.0
31039,1.0
31041,8.0
31043,13.0
31045,10.0
31047,18.0
31049,-2.0
31051,0.0
31053,39.0
31055,490.0
31057,2.0
31059,4.0
31061,3.0
31063,3.0
31065,4.0
31067,10.0
31069,0.0
31071,0.0
31073,2.0
31075,1.0
31077,0.0
31079,129.0
31081,6.0
31083,2.0
31085,0.0
31087,-1.0
31089,14.0
31091,0.0
31093,3.0
31095,2.0
31097,1.0
31099,5.0
31101,8.0
31103,0.0
31105,0.0
31107,6.0
31109,299.0
31111,42.0
31113,-1.0
31115,0.0
31117,0.0
31119,7.0
31121,3.0
31123,4.0
31125,4.0
31127,8.0
31129,4.0
31131,24.0
31133,6.0
31135,3.0
31137,15.0
31139,0.0
31141,16.0
31143,12.0
31145,8.0
31147,23.0
31149,2.0
31151,3.0
31153,303.0
31155,26.0
31157,7.0
31159,25.0
31161,23.0
31163,4.0
31165,1.0
31167,4.0
31169,9.0
31171,1.0
31173,4.0
31175,3.0
31177,10.0
31179,26.0
31181,2.0
31183,0.0
31185,9.0
32001,28.0
32003,2274.0
32005,40.0
32007,54.0
32009,0.0
32011,0.0
32013,14.0
32015,1.0
32017,1.0
32019,38.0
32021,0.0
32023,25.0
32027,1.0
32029,1.0
32031,298.0
32033,5.0
32510,55.0
33001,70.0
33003,63.0
33005,118.0
33007,45.0
33009,210.0
33011,580.0
33013,140.0
33015,436.0
33017,231.0
33019,38.0
34001,702.0
34003,2978.0
34005,806.0
34007,911.0
34009,244.0
34011,338.0
34013,2161.0
34015,516.0
34017,2251.0
34019,252.0
34021,645.0
34023,1974.0
34025,2075.0
34027,1212.0
34029,1980.0
34031,1231.0
34033,103.0
34035,755.0
34037,323.0
34039,1492.0
34041,287.0
35001,669.0
35003,0.0
35005,55.0
35006,30.0
35007,9.0
35009,37.0
35011,1.0
35013,332.0
35015,161.0
35017,40.0
35019,13.0
35021,0.0
35023,4.0
35025,45.0
35027,27.0
35028,8.0
35029,26.0
35031,55.0
35033,7.0
35035,103.0
35037,4.0
35039,32.0
35041,9.0
35043,88.0
35045,66.0
35047,15.0
35049,70.0
35051,14.0
35053,11.0
35055,37.0
35057,13.0
35059,14.0
35061,62.0
36001,449.0
36003,60.0
36005,5595.0
36007,605.0
36009,130.0
36011,83.0
36013,139.0
36015,65.0
36017,56.0
36019,195.0
36021,72.0
36023,77.0
36025,61.0
36027,731.0
36029,1741.0
36031,40.0
36033,110.0
36035,117.0
36037,96.0
36039,64.0
36041,8.0
36043,48.0
36045,165.0
36047,8558.0
36049,54.0
36051,93.0
36053,73.0
36055,1005.0
36057,88.0
36059,4538.0
36061,4370.0
36063,312.0
36065,299.0
36067,498.0
36069,133.0
36071,1304.0
36073,48.0
36075,93.0
36077,103.0
36079,234.0
36081,7746.0
36083,229.0
36085,1777.0
36087,954.0
36089,274.0
36091,328.0
36093,197.0
36095,37.0
